ticker,company_name,market_cap_category
ADANIENT.NSE,Adani Enterprises Limited,Large Cap
ADANIGREEN.NSE,Adani Green Energy Limited,Large Cap
ADANITRANS.NSE,Adani Transmission Limited,Large Cap
ASIANPAINT.NSE,Asian Paints Limited,Large Cap
ATGL.NSE,Adani Total Gas Limited,Large Cap
AXISBANK.NSE,Axis Bank Limited,Large Cap
BAJAJ-AUTO.NSE,Bajaj Auto Limited,Large Cap
BAJAJFINSV.NSE,Bajaj Finserv Ltd.,Large Cap
BAJFINANCE.NSE,Bajaj Finance Limited,Large Cap
BHARTIARTL.NSE,Bharti Airtel Limited,Large Cap
BPCL.NSE,Bharat Petroleum Corporation Limited,Large Cap
BRITANNIA.NSE,Britannia Industries Limited,Large Cap
CIPLA.NSE,Cipla Limited,Large Cap
COALINDIA.NSE,Coal India Limited,Large Cap
DABUR.NSE,Dabur India Limited,Large Cap
DIVISLAB.NSE,Divi's Laboratories Limited,Large Cap
DLF.NSE,DLF Limited,Large Cap
DMART.NSE,Avenue Supermarts Limited,Large Cap
DRREDDY.NSE,Dr. Reddy's Laboratories Limited,Large Cap
EICHERMOT.NSE,Eicher Motors Limited,Large Cap
GODREJCP.NSE,Godrej Consumer Products Limited,Large Cap
GRASIM.NSE,Grasim Industries Limited,Large Cap
HCLTECH.NSE,HCL Technologies Limited,Large Cap
HDFC.NSE,Housing Development Finance Corporation Limited,Large Cap
HDFCBANK.NSE,HDFC Bank Limited,Large Cap
HDFCLIFE.NSE,HDFC Life Insurance Company Limited,Large Cap
HINDALCO.NSE,Hindalco Industries Limited,Large Cap
HINDUNILVR.NSE,Hindustan Unilever Limited,Large Cap
HINDZINC.NSE,Hindustan Zinc Limited,Large Cap
ICICIBANK.NSE,ICICI Bank Limited,Large Cap
ICICIPRULI.NSE,ICICI Prudential Life Insurance Company Limited,Large Cap
INDUSINDBK.NSE,IndusInd Bank Limited,Large Cap
INFY.NSE,Infosys Limited,Large Cap
IOC.NSE,Indian Oil Corporation Limited,Large Cap
ITC.NSE,ITC Limited,Large Cap
JSWSTEEL.NSE,JSW Steel Limited,Large Cap
KOTAKBANK.NSE,Kotak Mahindra Bank Limited,Large Cap
M&M.NSE,Mahindra & Mahindra Limited,Large Cap
MARUTI.NSE,Maruti Suzuki India Limited,Large Cap
MOTHERSUMI.NSE,Motherson Sumi Systems Limited,Large Cap
NESTLEIND.NSE,Nestle India Limited,Large Cap
NTPC.NSE,NTPC Limited,Large Cap
ONGC.NSE,Oil and Natural Gas Corporation Limited,Large Cap
PIDILITIND.NSE,Pidilite Industries Limited,Large Cap
POWERGRID.NSE,Power Grid Corporation of India Limited,Large Cap
RELIANCE.NSE,Reliance Industries Limited,Large Cap
SANOFI.NSE,Sanofi,Large Cap
SBICARD.NSE,SBI Cards and Payment Services Limited,Large Cap
SBILIFE.NSE,SBI Life Insurance Company Limited,Large Cap
SBIN.NSE,State Bank of India,Large Cap
SHREECEM.NSE,Shree Cement Limited,Large Cap
SUNPHARMA.NSE,Sun Pharmaceutical Industries Limited,Large Cap
SUPERHOUSE.NSE,RH,Large Cap
TATAMOTORS.NSE,Tata Motors Limited,Large Cap
TATAMTRDVR.NSE,Tata Motors Limited,Large Cap
TATASTEEL.NSE,Tata Steel Limited,Large Cap
TCS.NSE,Tata Consultancy Services Limited,Large Cap
TECHM.NSE,Tech Mahindra Limited,Large Cap
TITAN.NSE,Titan Company Limited,Large Cap
TWL.NSE,RH,Large Cap
ULTRACEMCO.NSE,UltraTech Cement Limited,Large Cap
VEDL.NSE,Vedanta Limited,Large Cap
VSCL-SM.NSE,RH,Large Cap
WIPRO.NSE,Wipro Limited,Large Cap
AARTIIND.NSE,Aarti Industries Limited,Mid Cap
AAVAS.NSE,Aavas Financiers Limited,Mid Cap
ABB.NSE,ABB India Limited,Mid Cap
ABBOTINDIA.NSE,Abbott India Limited,Mid Cap
ABCAPITAL.NSE,Aditya Birla Capital Limited,Mid Cap
ABFRL.NSE,Aditya Birla Fashion and Retail Limited,Mid Cap
ACC.NSE,ACC Limited,Mid Cap
ADANIPOWER.NSE,Adani Power Limited,Mid Cap
AIAENG.NSE,AIA Engineering Limited,Mid Cap
AJANTPHARM.NSE,Ajanta Pharma Limited,Mid Cap
ALKEM.NSE,Alkem Laboratories Limited,Mid Cap
AMBUJACEM.NSE,Ambuja Cements Limited,Mid Cap
APLAPOLLO.NSE,APL Apollo Tubes Limited,Mid Cap
APLLTD.NSE,Alembic Pharmaceuticals Limited,Mid Cap
APOLLOHOSP.NSE,Apollo Hospitals Enterprise Limited,Mid Cap
APOLLOTYRE.NSE,Apollo Tyres Limited,Mid Cap
ASHOKLEY.NSE,Ashok Leyland Limited,Mid Cap
ASTRAL.NSE,Astral Limited,Mid Cap
ATUL.NSE,Atul Ltd,Mid Cap
AUBANK.NSE,AU Small Finance Bank Limited,Mid Cap
AUROPHARMA.NSE,Aurobindo Pharma Limited,Mid Cap
BAJAJHLDNG.NSE,Bajaj Holdings & Investment Limited,Mid Cap
BALKRISIND.NSE,Balkrishna Industries Limited,Mid Cap
BANDHANBNK.NSE,Bandhan Bank Limited,Mid Cap
BANKBARODA.NSE,Bank of Baroda,Mid Cap
BANKINDIA.NSE,Bank of India Limited,Mid Cap
BATAINDIA.NSE,Bata India Limited,Mid Cap
BAYERCROP.NSE,Bayer CropScience Limited,Mid Cap
BEL.NSE,Bharat Electronics Limited,Mid Cap
BERGEPAINT.NSE,Berger Paints India Limited,Mid Cap
BHARATFORG.NSE,Bharat Forge Limited,Mid Cap
BHEL.NSE,Bharat Heavy Electricals Limited,Mid Cap
BIOCON.NSE,Biocon Limited,Mid Cap
BOSCHLTD.NSE,Bosch Limited,Mid Cap
CADILAHC.NSE,Cadila Healthcare Limited,Mid Cap
CANBK.NSE,Canara Bank,Mid Cap
CHOLAFIN.NSE,Cholamandalam Investment and Finance Company Limited,Mid Cap
COFORGE.NSE,COFORGE Limited,Mid Cap
COLPAL.NSE,Colgate-Palmolive (India) Limited,Mid Cap
CONCOR.NSE,Container Corporation of India Limited,Mid Cap
COROMANDEL.NSE,Coromandel International Limited,Mid Cap
CRISIL.NSE,CRISIL Limited,Mid Cap
CROMPTON.NSE,Crompton Greaves Consumer Electricals Limited,Mid Cap
CUMMINSIND.NSE,Cummins India Limited,Mid Cap
DALBHARAT.NSE,Dalmia Bharat Limited,Mid Cap
DEEPAKNTR.NSE,Deepak Nitrite Limited,Mid Cap
DIXON.NSE,Dixon Technologies (India) Limited,Mid Cap
EMAMILTD.NSE,Emami Limited,Mid Cap
ENDURANCE.NSE,Endurance Technologies Limited,Mid Cap
ESCORTS.NSE,Escorts Limited,Mid Cap
EXIDEIND.NSE,Exide Industries Limited,Mid Cap
FEDERALBNK.NSE,The Federal Bank Limited,Mid Cap
